resident,invader,initial_fraction,mean_final_fraction,std_final_fraction,invasion_rate,mean_generations,n_seeds
Always Cooperate,Always Defect,0.01,0.9754557291666667,0.01233328655668966,1.0,29.4,30
Always Cooperate,Always Defect,0.02,0.98291015625,0.014287604127103348,1.0,25.5,30
Always Cooperate,Always Defect,0.05,0.9888997395833333,0.010431511484761154,1.0,21.433333333333334,30
Always Cooperate,Always Defect,0.1,0.9955078125,0.006870008228942154,1.0,13.466666666666667,30
Always Cooperate,Always Defect,0.15,0.99599609375,0.005626606328201923,1.0,13.3,30
Always Cooperate,Always Defect,0.2,0.99755859375,0.004621581564288833,1.0,9.5,30
Always Cooperate,Always Defect,0.25,0.9986002604166667,0.0037924851139762546,1.0,6.333333333333333,30
Always Cooperate,Always Defect,0.3,0.99892578125,0.0033077101417245823,1.0,4.866666666666666,30
Always Cooperate,Always Defect,0.35,0.99970703125,0.0016046559301909078,1.0,2.933333333333333,30
Always Cooperate,Always Defect,0.4,0.999609375,0.002139541240254572,1.0,2.933333333333333,30
Always Cooperate,Always Defect,0.45,1.0,0.0,1.0,1.9,30
Always Cooperate,Always Defect,0.5,1.0,0.0,1.0,1.8666666666666667,30
Always Cooperate,Always Defect,0.55,1.0,0.0,1.0,1.6666666666666667,30
Always Cooperate,Always Defect,0.6,1.0,0.0,1.0,1.3666666666666667,30
Always Cooperate,Always Defect,0.65,1.0,0.0,1.0,1.1666666666666667,30
Always Cooperate,Always Defect,0.7,1.0,0.0,1.0,1.0333333333333334,30
Always Cooperate,Always Defect,0.75,1.0,0.0,1.0,1.1333333333333333,30
Always Cooperate,Always Defect,0.8,1.0,0.0,1.0,1.0,30
Always Cooperate,Always Defect,0.85,1.0,0.0,1.0,1.0,30
Always Cooperate,Always Defect,0.9,1.0,0.0,1.0,1.0,30
Always Cooperate,Always Defect,0.95,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.2),0.01,1.0,0.0,1.0,11.433333333333334,30
Always Cooperate,Random(p=0.2),0.02,1.0,0.0,1.0,8.933333333333334,30
Always Cooperate,Random(p=0.2),0.05,1.0,0.0,1.0,6.466666666666667,30
Always Cooperate,Random(p=0.2),0.1,1.0,0.0,1.0,5.2,30
Always Cooperate,Random(p=0.2),0.15,1.0,0.0,1.0,3.7,30
Always Cooperate,Random(p=0.2),0.2,1.0,0.0,1.0,3.533333333333333,30
Always Cooperate,Random(p=0.2),0.25,1.0,0.0,1.0,2.6,30
Always Cooperate,Random(p=0.2),0.3,1.0,0.0,1.0,2.1333333333333333,30
Always Cooperate,Random(p=0.2),0.35,1.0,0.0,1.0,2.066666666666667,30
Always Cooperate,Random(p=0.2),0.4,1.0,0.0,1.0,2.0,30
Always Cooperate,Random(p=0.2),0.45,1.0,0.0,1.0,1.9333333333333333,30
Always Cooperate,Random(p=0.2),0.5,1.0,0.0,1.0,2.033333333333333,30
Always Cooperate,Random(p=0.2),0.55,1.0,0.0,1.0,1.5,30
Always Cooperate,Random(p=0.2),0.6,1.0,0.0,1.0,1.2666666666666666,30
Always Cooperate,Random(p=0.2),0.65,1.0,0.0,1.0,1.1333333333333333,30
Always Cooperate,Random(p=0.2),0.7,1.0,0.0,1.0,1.0333333333333334,30
Always Cooperate,Random(p=0.2),0.75,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.2),0.8,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.2),0.85,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.2),0.9,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.2),0.95,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.4),0.01,1.0,0.0,1.0,10.333333333333334,30
Always Cooperate,Random(p=0.4),0.02,1.0,0.0,1.0,8.133333333333333,30
Always Cooperate,Random(p=0.4),0.05,1.0,0.0,1.0,5.6,30
Always Cooperate,Random(p=0.4),0.1,1.0,0.0,1.0,4.233333333333333,30
Always Cooperate,Random(p=0.4),0.15,1.0,0.0,1.0,3.566666666666667,30
Always Cooperate,Random(p=0.4),0.2,1.0,0.0,1.0,3.1,30
Always Cooperate,Random(p=0.4),0.25,1.0,0.0,1.0,2.433333333333333,30
Always Cooperate,Random(p=0.4),0.3,1.0,0.0,1.0,2.2,30
Always Cooperate,Random(p=0.4),0.35,1.0,0.0,1.0,2.066666666666667,30
Always Cooperate,Random(p=0.4),0.4,1.0,0.0,1.0,2.0,30
Always Cooperate,Random(p=0.4),0.45,1.0,0.0,1.0,1.9333333333333333,30
Always Cooperate,Random(p=0.4),0.5,1.0,0.0,1.0,1.7666666666666666,30
Always Cooperate,Random(p=0.4),0.55,1.0,0.0,1.0,1.5666666666666667,30
Always Cooperate,Random(p=0.4),0.6,1.0,0.0,1.0,1.2666666666666666,30
Always Cooperate,Random(p=0.4),0.65,1.0,0.0,1.0,1.2333333333333334,30
Always Cooperate,Random(p=0.4),0.7,1.0,0.0,1.0,1.0333333333333334,30
Always Cooperate,Random(p=0.4),0.75,1.0,0.0,1.0,1.0333333333333334,30
Always Cooperate,Random(p=0.4),0.8,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.4),0.85,1.0,0.0,1.0,1.0,30
Always Cooperate,Random(p=0.4),0.9,1.0,0.0,1.0,1.0,30
