resident,invader,initial_fraction,final_fraction,generations_run,fixated,invader_won,seed
Always Cooperate,Always Defect,0.01,0.98828125,30,False,True,42
Always Cooperate,Always Defect,0.01,0.9853515625,30,False,True,143
Always Cooperate,Always Defect,0.01,0.9912109375,30,False,True,244
Always Cooperate,Always Defect,0.01,0.966796875,30,False,True,345
Always Cooperate,Always Defect,0.01,0.966796875,30,False,True,446
Always Cooperate,Always Defect,0.01,0.9794921875,30,False,True,547
Always Cooperate,Always Defect,0.01,0.953125,30,False,True,648
Always Cooperate,Always Defect,0.01,0.9765625,30,False,True,749
Always Cooperate,Always Defect,0.01,0.9794921875,30,False,True,850
Always Cooperate,Always Defect,0.01,0.9609375,30,False,True,951
Always Cooperate,Always Defect,0.01,0.97265625,30,False,True,1052
Always Cooperate,Always Defect,0.01,0.9765625,30,False,True,1153
Always Cooperate,Always Defect,0.01,0.96484375,30,False,True,1254
Always Cooperate,Always Defect,0.01,0.982421875,30,False,True,1355
Always Cooperate,Always Defect,0.01,0.9736328125,30,False,True,1456
Always Cooperate,Always Defect,0.01,0.9853515625,30,False,True,1557
Always Cooperate,Always Defect,0.01,0.9912109375,30,False,True,1658
Always Cooperate,Always Defect,0.01,0.947265625,30,False,True,1759
Always Cooperate,Always Defect,0.01,0.9912109375,30,False,True,1860
Always Cooperate,Always Defect,0.01,0.9716796875,30,False,True,1961
Always Cooperate,Always Defect,0.01,0.9736328125,30,False,True,2062
Always Cooperate,Always Defect,0.01,0.982421875,30,False,True,2163
Always Cooperate,Always Defect,0.01,0.98828125,30,False,True,2264
Always Cooperate,Always Defect,0.01,0.982421875,30,False,True,2365
Always Cooperate,Always Defect,0.01,0.9677734375,30,False,True,2466
Always Cooperate,Always Defect,0.01,0.9560546875,30,False,True,2567
Always Cooperate,Always Defect,0.01,1.0,12,True,True,2668
Always Cooperate,Always Defect,0.01,0.96875,30,False,True,2769
Always Cooperate,Always Defect,0.01,0.966796875,30,False,True,2870
Always Cooperate,Always Defect,0.01,0.97265625,30,False,True,2971
Always Cooperate,Always Defect,0.02,0.98828125,30,False,True,10049
