strategy,round,avg_payoff,std_payoff,n
Always Cooperate,1,2.0943843843843846,1.3772168274633239,99900
Always Cooperate,2,2.101201201201201,1.374254714504957,99900
Always Cooperate,3,2.097837837837838,1.375721216192823,99900
Always Cooperate,4,2.095945945945946,1.3765418254278379,99900
Always Cooperate,5,2.1000900900900903,1.374740267032908,99900
Always Defect,1,3.8034434434434434,1.831532749335529,99900
Always Defect,2,2.2004804804804805,1.8332490773407568,99900
Always Defect,3,2.205085085085085,1.835250389783612,99900
Always Defect,4,2.1942742742742745,1.8305298677819104,99900
Always Defect,5,2.1948348348348348,1.8307765040500183,99900
Random(p=0.2),1,3.464634634634635,1.877962340308979,99900
Random(p=0.2),2,2.2421821821821823,1.9337484893064396,99900
Random(p=0.2),3,2.2461061061061063,1.9348471315609117,99900
Random(p=0.2),4,2.23982982982983,1.9346600501576094,99900
Random(p=0.2),5,2.237207207207207,1.9318458418694864,99900
Random(p=0.4),1,3.117397397397397,1.8614325702960957,99900
Random(p=0.4),2,2.258888888888889,1.9440758194490126,99900
Random(p=0.4),3,2.257807807807808,1.9473473450821046,99900
Random(p=0.4),4,2.2493993993993993,1.946457994756693,99900
Random(p=0.4),5,2.2592692692692693,1.945476649758426,99900
Random(p=0.6),1,2.783743743743744,1.7790549978712586,99900
Random(p=0.6),2,2.2435635635635633,1.8694185691701952,99900
Random(p=0.6),3,2.236986986986987,1.868836752406707,99900
Random(p=0.6),4,2.244224224224224,1.8694448229244938,99900
Random(p=0.6),5,2.234694694694695,1.8698354819231116,99900
Random(p=0.8),1,2.4412212212212214,1.6229414001393516,99900
Random(p=0.8),2,2.181971971971972,1.6884634236593878,99900
Random(p=0.8),3,2.1867567567567567,1.6929268895495118,99900
Random(p=0.8),4,2.181121121121121,1.6948360210279636,99900
Random(p=0.8),5,2.1833433433433433,1.6949750744897125,99900
Tit-for-Tat,1,2.100457957957958,1.3745744683685739,399600
Tit-for-Tat,2,2.4785935935935934,1.281734830331423,399600
Tit-for-Tat,3,2.4767467467467466,1.2842208428296191,399600
Tit-for-Tat,4,2.48017017017017,1.2843971236468226,399600
Tit-for-Tat,5,2.480347847847848,1.2851478175868345,399600
